State,,County Name,,,,Median Home Price Q4 2023,,,"Monthly Payment Q4
2023",,,"Monthly Payment
Q4 2022",,,,,
,,Russell County,,,,"$149,570",,,$920,,,$820,,,,,
,,St. Clair County,,,,"$238,780",,,"$1,470",,,"$1,310",,,,,
,,Shelby County,,,,"$341,210",,,"$2,110",,,"$1,870",,,,,
,,Sumter County,,,,"$91,580",,,$570,,,$510,,,,,
,,Talladega County,,,,"$144,140",,,$890,,,$800,,,,,
,,Tallapoosa County,,,,"$132,270",,,$820,,,$740,,,,,
,,Tuscaloosa County,,,,"$279,970",,,"$1,730",,,"$1,490",,,,,
,,Walker County,,,,"$131,180",,,$810,,,$720,,,,,
,,Washington County,,,,"$143,720",,,$890,,,$800,,,,,
,,Wilcox County,,,,"$86,590",,,$530,,,$480,,,,,
,,Winston County,,,,"$116,140",,,$720,,,$650,,,,,
Alaska,,Aleutians East Borough,,,,"$167,600",,,"$1,030",,,$950,,,,,
,,Aleutians West Census Area,,,,"$385,130",,,"$2,380",,,"$2,190",,,,,
,,Anchorage Municipality,,,,"$381,890",,,"$2,360",,,"$2,140",,,,,
,,Bethel Census Area,,,,"$123,170",,,$760,,,$700,,,,,
,,Bristol Bay Borough,,,,"$258,800",,,"$1,600",,,"$1,470",,,,,
,,Denali Borough,,,,"$231,840",,,"$1,430",,,"$1,320",,,,,
,,Dillingham Census Area,,,,"$171,270",,,"$1,060",,,$970,,,,,
,,Fairbanks North Star Borough,,,,"$332,050",,,"$2,050",,,"$1,790",,,,,
,,Haines Borough,,,,"$295,360",,,"$1,820",,,"$1,680",,,,,
,,Juneau City and Borough,,,,"$413,220",,,"$2,550",,,"$2,350",,,,,
,,Kenai Peninsula Borough,,,,"$286,880",,,"$1,770",,,"$1,630",,,,,
,,Ketchikan Gateway Borough,,,,"$368,690",,,"$2,270",,,"$2,100",,,,,
,,Kodiak Island Borough,,,,"$362,560",,,"$2,240",,,"$2,060",,,,,
,,Lake and Peninsula Borough,,,,"$170,560",,,"$1,050",,,$970,,,,,
,,Matanuska-Susitna Borough,,,,"$341,510",,,"$2,110",,,"$1,910",,,,,
,,Nome Census Area,,,,"$185,160",,,"$1,140",,,"$1,050",,,,,
,,North Slope Borough,,,,"$197,930",,,"$1,220",,,"$1,130",,,,,
,,Northwest Arctic Borough,,,,"$150,340",,,$930,,,$850,,,,,
,,Sitka City and Borough,,,,"$433,750",,,"$2,680",,,"$2,470",,,,,
,,Southeast Fairbanks Census Area,,,,"$226,930",,,"$1,400",,,"$1,290",,,,,
,,Yakutat City and Borough,,,,"$155,340",,,$960,,,$880,,,,,
,,Yukon-Koyukuk Census Area,,,,"$88,440",,,$550,,,$500,,,,,
Arizona,,Apache County,,,,"$69,300",,,$430,,,$390,,,,,
,,Cochise County,,,,"$220,550",,,"$1,360",,,"$1,240",,,,,
,,Coconino County,,,,"$494,010",,,"$3,050",,,"$2,670",,,,,
,,Gila County,,,,"$230,490",,,"$1,420",,,"$1,290",,,,,
,,Graham County,,,,"$184,700",,,"$1,140",,,"$1,040",,,,,
,,Greenlee County,,,,"$97,270",,,$600,,,$550,,,,,
,,La Paz County,,,,"$121,720",,,$750,,,$680,,,,,
,,Maricopa County,,,,"$484,110",,,"$2,990",,,"$2,710",,,,,
,,Mohave County,,,,"$298,510",,,"$1,840",,,"$1,690",,,,,
,,Navajo County,,,,"$222,410",,,"$1,370",,,"$1,250",,,,,
,,Pima County,,,,"$336,560",,,"$2,080",,,"$1,840",,,,,
,,Pinal County,,,,"$376,850",,,"$2,330",,,"$2,110",,,,,
,,Santa Cruz County,,,,"$203,760",,,"$1,260",,,"$1,140",,,,,
,,Yavapai County,,,,"$462,600",,,"$2,850",,,"$2,520",,,,,
,,Yuma County,,,,"$264,630",,,"$1,630",,,"$1,450",,,,,
Arkansas,,Arkansas County,,,,"$131,620",,,$810,,,$730,,,,,
,,Ashley County,,,,"$90,530",,,$560,,,$500,,,,,
,,Baxter County,,,,"$162,670",,,"$1,000",,,$900,,,,,
,,Benton County,,,,"$337,530",,,"$2,080",,,"$1,780",,,,,
,,Boone County,,,,"$165,280",,,"$1,020",,,$920,,,,,
,,Bradley County,,,,"$91,890",,,$570,,,$510,,,,,
,,Calhoun County,,,,"$86,460",,,$530,,,$480,,,,,
,,Carroll County,,,,"$177,410",,,"$1,090",,,$990,,,,,
,,Chicot County,,,,"$92,100",,,$570,,,$510,,,,,
,,Clark County,,,,"$149,810",,,$920,,,$830,,,,,
,,Clay County,,,,"$89,700",,,$550,,,$500,,,,,
,,Cleburne County,,,,"$169,570",,,"$1,050",,,$940,,,,,
,,Columbia County,,,,"$128,800",,,$790,,,$720,,,,,
,,Conway County,,,,"$135,490",,,$840,,,$750,,,,,
,,Craighead County,,,,"$211,290",,,"$1,300",,,"$1,230",,,,,
,,Crawford County,,,,"$165,030",,,"$1,020",,,$900,,,,,
,,Crittenden County,,,,"$148,380",,,$920,,,$860,,,,,
,,Cross County,,,,"$101,930",,,$630,,,$570,,,,,
,,Dallas County,,,,"$98,580",,,$610,,,$550,,,,,
,,Desha County,,,,"$92,310",,,$570,,,$510,,,,,
,,Drew County,,,,"$129,530",,,$800,,,$720,,,,,
,,Faulkner County,,,,"$228,460",,,"$1,410",,,"$1,260",,,,,
,,Franklin County,,,,"$125,180",,,$770,,,$680,,,,,
,,Fulton County,,,,"$104,540",,,$650,,,$580,,,,,
,,Garland County,,,,"$193,020",,,"$1,190",,,"$1,140",,,,,
,,Grant County,,,,"$149,140",,,$920,,,$820,,,,,
,,Greene County,,,,"$164,550",,,"$1,020",,,$910,,,,,
,,Hempstead County,,,,"$109,460",,,$680,,,$610,,,,,
,,Hot Spring County,,,,"$125,030",,,$770,,,$690,,,,,
,,Howard County,,,,"$130,990",,,$810,,,$730,,,,,
,,Independence County,,,,"$116,360",,,$720,,,$650,,,,,
,,Izard County,,,,"$115,620",,,$710,,,$640,,,,,
,,Jackson County,,,,"$89,590",,,$550,,,$500,,,,,
,,Johnson County,,,,"$125,240",,,$770,,,$700,,,,,
,,Lafayette County,,,,"$74,120",,,$460,,,$410,,,,,
,,Lawrence County,,,,"$88,130",,,$540,,,$490,,,,,
,,Lee County,,,,"$84,260",,,$520,,,$470,,,,,
,,Little River County,,,,"$113,120",,,$700,,,$630,,,,,
,,Logan County,,,,"$127,120",,,$780,,,$710,,,,,
,,Lonoke County,,,,"$194,180",,,"$1,200",,,"$1,070",,,,,
,,Madison County,,,,"$163,100",,,"$1,010",,,$860,,,,,
,,Marion County,,,,"$153,780",,,$950,,,$850,,,,,
,,Miller County,,,,"$140,260",,,$870,,,$800,,,,,
,,Mississippi County,,,,"$115,000",,,$710,,,$640,,,,,
,,Monroe County,,,,"$88,440",,,$550,,,$490,,,,,
,,Montgomery County,,,,"$131,930",,,$810,,,$730,,,,,
,,Nevada County,,,,"$88,970",,,$550,,,$490,,,,,
,,Newton County,,,,"$167,790",,,"$1,040",,,$930,,,,,
,,Ouachita County,,,,"$100,360",,,$620,,,$560,,,,,
,,Perry County,,,,"$130,160",,,$800,,,$720,,,,,
,,Phillips County,,,,"$77,470",,,$480,,,$430,,,,,
,,Pike County,,,,"$103,710",,,$640,,,$580,,,,,
,,Poinsett County,,,,"$93,370",,,$580,,,$550,,,,,
,,Polk County,,,,"$126,290",,,$780,,,$700,,,,,
,,Pope County,,,,"$158,910",,,$980,,,$880,,,,,
,,Prairie County,,,,"$91,160",,,$560,,,$510,,,,,
,,Pulaski County,,,,"$215,060",,,"$1,330",,,"$1,180",,,,,
,,Randolph County,,,,"$115,730",,,$710,,,$640,,,,,
,,St. Francis County,,,,"$86,140",,,$530,,,$480,,,,,
,,Saline County,,,,"$219,070",,,"$1,350",,,"$1,210",,,,,
,,Scott County,,,,"$102,030",,,$630,,,$570,,,,,
,,Searcy County,,,,"$111,970",,,$690,,,$620,,,,,
,,Sebastian County,,,,"$181,960",,,"$1,120",,,$990,,,,,
,,Sevier County,,,,"$103,710",,,$640,,,$580,,,,,
,,Sharp County,,,,"$93,980",,,$580,,,$520,,,,,
,,Stone County,,,,"$160,680",,,$990,,,$890,,,,,
,,Union County,,,,"$115,940",,,$720,,,$640,,,,,
,,Van Buren County,,,,"$123,260",,,$760,,,$680,,,,,
,,Washington County,,,,"$306,740",,,"$1,890",,,"$1,620",,,,,
,,White County,,,,"$161,310",,,"$1,000",,,$900,,,,,
,,Woodruff County,,,,"$100,470",,,$620,,,$560,,,,,
,,Yell County,,,,"$134,230",,,$830,,,$750,,,,,
ornia,,Alameda County,,,,"$1,084,820",,,"$6,690",,,"$6,340",,,,,
,,Alpine County,,,,"$470,370",,,"$2,900",,,"$2,690",,,,,
,,Amador County,,,,"$415,320",,,"$2,560",,,"$2,380",,,,,
,,Butte County,,,,"$427,480",,,"$2,640",,,"$2,400",,,,,
,,Calaveras County,,,,"$409,840",,,"$2,530",,,"$2,350",,,,,
,,Colusa County,,,,"$365,130",,,"$2,250",,,"$2,090",,,,,
,,Contra Costa County,,,,"$859,710",,,"$5,300",,,"$5,030",,,,,
,,Del Norte County,,,,"$286,440",,,"$1,770",,,"$1,640",,,,,
,,El Dorado County,,,,"$672,190",,,"$4,150",,,"$3,800",,,,,
,,Fresno County,,,,"$395,990",,,"$2,440",,,"$2,220",,,,,
,,Glenn County,,,,"$299,520",,,"$1,850",,,"$1,720",,,,,
,,Humboldt County,,,,"$435,490",,,"$2,690",,,"$2,490",,,,,
,,Imperial County,,,,"$305,870",,,"$1,890",,,"$1,700",,,,,
,,Inyo County,,,,"$330,450",,,"$2,040",,,"$1,890",,,,,
,,Kern County,,,,"$345,910",,,"$2,130",,,"$1,920",,,,,
,,Kings County,,,,"$306,490",,,"$1,890",,,"$1,740",,,,,
,,Lake County,,,,"$304,390",,,"$1,880",,,"$1,740",,,,,
,,Lassen County,,,,"$236,350",,,"$1,460",,,"$1,350",,,,,
,,Los Angeles County,,,,"$844,600",,,"$5,210",,,"$4,680",,,,,
,,Madera County,,,,"$424,890",,,"$2,620",,,"$2,300",,,,,
,,Marin County,,,,"$1,456,190",,,"$8,980",,,"$8,520",,,,,
,,Mariposa County,,,,"$340,590",,,"$2,100",,,"$1,950",,,,,
,,Mendocino County,,,,"$490,150",,,"$3,020",,,"$2,810",,,,,
,,Merced County,,,,"$396,050",,,"$2,440",,,"$2,260",,,,,
,,Modoc County,,,,"$187,480",,,"$1,160",,,"$1,070",,,,,
,,Mono County,,,,"$503,730",,,"$3,110",,,"$2,890",,,,,
,,Monterey County,,,,"$754,130",,,"$4,650",,,"$4,250",,,,,
,,Napa County,,,,"$918,940",,,"$5,670",,,"$5,030",,,,,
,,Nevada County,,,,"$642,140",,,"$3,960",,,"$3,680",,,,,
Calif,,Orange County,,,,"$986,450",,,"$6,090",,,"$5,460",,,,,
,,Placer County,,,,"$700,970",,,"$4,330",,,"$3,960",,,,,
,,Plumas County,,,,"$314,430",,,"$1,940",,,"$1,800",,,,,
,,Riverside County,,,,"$577,410",,,"$3,560",,,"$3,230",,,,,
,,Sacramento County,,,,"$551,530",,,"$3,400",,,"$3,120",,,,,
,,San Benito County,,,,"$843,530",,,"$5,200",,,"$4,650",,,,,
,,San Bernardino County,,,,"$524,390",,,"$3,240",,,"$2,930",,,,,
,,San Diego County,,,,"$916,720",,,"$5,660",,,"$4,920",,,,,
,,San Francisco County,,,,"$1,334,250",,,"$8,230",,,"$7,800",,,,,
,,San Joaquin County,,,,"$550,960",,,"$3,400",,,"$3,110",,,,,
,,San Luis Obispo County,,,,"$833,780",,,"$5,140",,,"$4,510",,,,,
,,San Mateo County,,,,"$1,575,350",,,"$9,720",,,"$9,210",,,,,
,,Santa Barbara County,,,,"$785,110",,,"$4,840",,,"$4,320",,,,,
,,Santa Clara County,,,,"$1,553,450",,,"$9,580",,,"$8,570",,,,,
,,Santa Cruz County,,,,"$924,620",,,"$5,710",,,"$5,890",,,,,
,,Shasta County,,,,"$359,780",,,"$2,220",,,"$2,060",,,,,
,,Sierra County,,,,"$293,440",,,"$1,810",,,"$1,680",,,,,
,,Siskiyou County,,,,"$263,830",,,"$1,630",,,"$1,510",,,,,
,,Solano County,,,,"$624,530",,,"$3,850",,,"$3,520",,,,,
,,Sonoma County,,,,"$796,560",,,"$4,910",,,"$4,480",,,,,
,,Stanislaus County,,,,"$471,390",,,"$2,910",,,"$2,620",,,,,
,,Sutter County,,,,"$462,490",,,"$2,850",,,"$2,520",,,,,
,,Tehama County,,,,"$346,870",,,"$2,140",,,"$1,990",,,,,
,,Trinity County,,,,"$330,750",,,"$2,040",,,"$1,890",,,,,
,,Tulare County,,,,"$337,920",,,"$2,080",,,"$1,860",,,,,
,,Tuolumne County,,,,"$382,970",,,"$2,360",,,"$2,190",,,,,
,,Ventura County,,,,"$845,410",,,"$5,220",,,"$4,620",,,,,
,,Yolo County,,,,"$608,260",,,"$3,750",,,"$3,440",,,,,
,,Yuba County,,,,"$459,600",,,"$2,840",,,"$2,500",,,,,
,,Adams County,,,,"$494,710",,,"$3,050",,,"$2,810",,,,,
,,Alamosa County,,,,"$207,500",,,"$1,280",,,"$1,150",,,,,
,,Arapahoe County,,,,"$562,280",,,"$3,470",,,"$3,190",,,,,
,,Archuleta County,,,,"$452,000",,,"$2,790",,,"$2,510",,,,,
,,Baca County,,,,"$125,120",,,$770,,,$700,,,,,
,,Bent County,,,,"$115,720",,,$710,,,$640,,,,,
,,Boulder County,,,,"$748,900",,,"$4,620",,,"$4,320",,,,,
,,Broomfield County,,,,"$659,540",,,"$4,070",,,"$3,740",,,,,
,,Chaffee County,,,,"$538,240",,,"$3,320",,,"$2,990",,,,,
,,Cheyenne County,,,,"$173,840",,,"$1,070",,,$970,,,,,
,,Clear Creek County,,,,"$518,970",,,"$3,200",,,"$2,940",,,,,
,,Conejos County,,,,"$161,500",,,"$1,000",,,$900,,,,,
,,Costilla County,,,,"$151,780",,,$940,,,$840,,,,,
,,Crowley County,,,,"$96,900",,,$600,,,$540,,,,,
,,Custer County,,,,"$341,920",,,"$2,110",,,"$1,900",,,,,
,,Delta County,,,,"$304,610",,,"$1,880",,,"$1,690",,,,,
,,Denver County,,,,"$613,780",,,"$3,790",,,"$3,480",,,,,
,,Dolores County,,,,"$217,430",,,"$1,340",,,"$1,210",,,,,
,,Douglas County,,,,"$723,630",,,"$4,460",,,"$4,100",,,,,
,,Eagle County,,,,"$761,410",,,"$4,700",,,"$4,230",,,,,
,,Elbert County,,,,"$638,140",,,"$3,940",,,"$3,620",,,,,
,,El Paso County,,,,"$475,670",,,"$2,930",,,"$2,700",,,,,
,,Fremont County,,,,"$276,280",,,"$1,700",,,"$1,530",,,,,
Colorado,,Garfield County,,,,"$469,660",,,"$2,900",,,"$2,610",,,,,
,,Gilpin County,,,,"$476,380",,,"$2,940",,,"$2,700",,,,,
,,Grand County,,,,"$482,100",,,"$2,970",,,"$2,680",,,,,
,,Gunnison County,,,,"$554,330",,,"$3,420",,,"$3,080",,,,,
,,Hinsdale County,,,,"$385,930",,,"$2,380",,,"$2,140",,,,,
,,Huerfano County,,,,"$241,680",,,"$1,490",,,"$1,340",,,,,
,,Jackson County,,,,"$237,600",,,"$1,470",,,"$1,320",,,,,
,,Jefferson County,,,,"$651,350",,,"$4,020",,,"$3,690",,,,,
,,Kiowa County,,,,"$133,170",,,$820,,,$740,,,,,
,,Kit Carson County,,,,"$190,980",,,"$1,180",,,"$1,060",,,,,
,,Lake County,,,,"$346,000",,,"$2,130",,,"$1,920",,,,,
,,La Plata County,,,,"$520,360",,,"$3,210",,,"$2,890",,,,,
,,Larimer County,,,,"$546,820",,,"$3,370",,,"$3,140",,,,,
,,Las Animas County,,,,"$199,550",,,"$1,230",,,"$1,110",,,,,
,,Lincoln County,,,,"$248,790",,,"$1,540",,,"$1,380",,,,,
,,Logan County,,,,"$212,300",,,"$1,310",,,"$1,180",,,,,
,,Mesa County,,,,"$398,420",,,"$2,460",,,"$2,170",,,,,
,,Mineral County,,,,"$396,180",,,"$2,440",,,"$2,200",,,,,
,,Moffat County,,,,"$258,720",,,"$1,600",,,"$1,440",,,,,
,,Montezuma County,,,,"$295,300",,,"$1,820",,,"$1,640",,,,,
,,Montrose County,,,,"$328,340",,,"$2,030",,,"$1,820",,,,,
,,Morgan County,,,,"$289,970",,,"$1,790",,,"$1,610",,,,,
,,Otero County,,,,"$138,610",,,$860,,,$770,,,,,
,,Ouray County,,,,"$623,430",,,"$3,850",,,"$3,460",,,,,
,,Park County,,,,"$469,520",,,"$2,900",,,"$2,660",,,,,
,,Phillips County,,,,"$269,900",,,"$1,670",,,"$1,500",,,,,
,,Pitkin County,,,,"$953,650",,,"$5,880",,,"$5,300",,,,,
,,Prowers County,,,,"$125,650",,,$780,,,$700,,,,,
,,Pueblo County,,,,"$288,430",,,"$1,780",,,"$1,700",,,,,
,,Rio Blanco County,,,,"$242,310",,,"$1,500",,,"$1,350",,,,,
,,Rio Grande County,,,,"$211,470",,,"$1,300",,,"$1,170",,,,,
,,Routt County,,,,"$723,150",,,"$4,460",,,"$4,020",,,,,
,,Saguache County,,,,"$174,050",,,"$1,070",,,$970,,,,,
,,San Juan County,,,,"$360,220",,,"$2,220",,,"$2,000",,,,,
,,San Miguel County,,,,"$586,840",,,"$3,620",,,"$3,260",,,,,
,,Sedgwick County,,,,"$142,160",,,$880,,,$790,,,,,
,,Summit County,,,,"$794,440",,,"$4,900",,,"$4,410",,,,,
,,Teller County,,,,"$415,430",,,"$2,560",,,"$2,350",,,,,
,,Washington County,,,,"$217,740",,,"$1,340",,,"$1,210",,,,,
,,Weld County,,,,"$459,500",,,"$2,840",,,"$2,650",,,,,
,,Yuma County,,,,"$210,630",,,"$1,300",,,"$1,170",,,,,
Delaware,,Kent County,,,,"$320,510",,,"$1,980",,,"$1,790",,,,,
,,New Castle County,,,,"$344,620",,,"$2,130",,,"$1,920",,,,,
"District of
Columbia",,District of Columbia,,,,"$744,230",,,"$4,590",,,"$4,130",,,,,
,,Alachua County,,,,"$307,140",,,"$1,900",,,"$1,630",,,,,
,,Baker County,,,,"$206,100",,,"$1,270",,,"$1,160",,,,,
,,Bay County,,,,"$313,630",,,"$1,940",,,"$1,820",,,,,
,,Bradford County,,,,"$166,780",,,"$1,030",,,$890,,,,,
,,Brevard County,,,,"$352,920",,,"$2,180",,,"$1,960",,,,,
,,Broward County,,,,"$434,030",,,"$2,680",,,"$2,290",,,,,
,,Calhoun County,,,,"$127,990",,,$790,,,$690,,,,,
Florida,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,
,,Charlotte County,,,,"$354,850",,,"$2,190",,,"$1,990",,Florida,,,
,,Citrus County,,,,"$259,770",,,"$1,600",,,"$1,390",,Florida,,,
,,Clay County,,,,"$319,150",,,"$1,970",,,"$1,790",,Florida,,,
,,Collier County,,,,"$573,190",,,"$3,540",,,"$3,140",,Florida,,,
,,Columbia County,,,,"$222,590",,,"$1,370",,,"$1,190",,Florida,,,
,,DeSoto County,,,,"$151,180",,,$930,,,$810,,Florida,,,
,,Dixie County,,,,"$101,000",,,$620,,,$540,,Florida,,,
,,Duval County,,,,"$320,710",,,"$1,980",,,"$1,800",,Florida,,,
,,Escambia County,,,,"$266,060",,,"$1,640",,,"$1,500",,Florida,,,
,,Franklin County,,,,"$255,860",,,"$1,580",,,"$1,370",,Florida,,,
,,Gadsden County,,,,"$148,140",,,$910,,,$800,,Florida,,,
,,Gilchrist County,,,,"$181,220",,,"$1,120",,,$960,,Florida,,,
,,Glades County,,,,"$98,940",,,$610,,,$530,,Florida,,,
,,Gulf County,,,,"$214,250",,,"$1,320",,,"$1,150",,Florida,,,
,,Hamilton County,,,,"$109,240",,,$670,,,$590,,Florida,,,
,,Hardee County,,,,"$128,640",,,$790,,,$690,,Florida,,,
,,Hendry County,,,,"$166,020",,,"$1,020",,,$890,,Florida,,,
,,Hernando County,,,,"$296,390",,,"$1,830",,,"$1,610",,Florida,,,
,,Highlands County,,,,"$191,710",,,"$1,180",,,"$1,030",,Florida,,,
,,Hillsborough County,,,,"$392,440",,,"$2,420",,,"$2,130",,Florida,,,
,,Holmes County,,,,"$102,840",,,$630,,,$550,,Florida,,,
,,Indian River County,,,,"$370,250",,,"$2,280",,,"$2,000",,Florida,,,
,,Jackson County,,,,"$122,780",,,$760,,,$660,,Florida,,,
,,Jefferson County,,,,"$180,840",,,"$1,120",,,$970,,Florida,,,
,,Lafayette County,,,,"$128,530",,,$790,,,$690,,Florida,,,
,,Lake County,,,,"$320,830",,,"$1,980",,,"$1,780",,Florida,,,
,,Lee County,,,,"$372,770",,,"$2,300",,,"$2,100",,Florida,,,
,,Leon County,,,,"$310,420",,,"$1,920",,,"$1,670",,Florida,,,
,,Levy County,,,,"$164,510",,,"$1,020",,,$880,,Florida,,,
,,Liberty County,,,,"$122,780",,,$760,,,$660,,Florida,,,
,,Madison County,,,,"$100,130",,,$620,,,$540,,Florida,,,
,,Manatee County,,,,"$415,500",,,"$2,560",,,"$2,310",,Florida,,,
,,Marion County,,,,"$245,230",,,"$1,510",,,"$1,410",,Florida,,,
,,Martin County,,,,"$460,520",,,"$2,840",,,"$2,520",,Florida,,,
,,Miami-Dade County,,,,"$499,480",,,"$3,080",,,"$2,630",,Florida,,,
,,Monroe County,,,,"$778,760",,,"$4,810",,,"$4,170",,Florida,,,
,,Nassau County,,,,"$396,770",,,"$2,450",,,"$2,220",,Florida,,,
,,Okaloosa County,,,,"$355,610",,,"$2,190",,,"$2,040",,Florida,,,
,,Okeechobee County,,,,"$171,770",,,"$1,060",,,$920,,Florida,,,
,,Orange County,,,,"$394,980",,,"$2,440",,,"$2,200",,Florida,,,
,,Osceola County,,,,"$362,290",,,"$2,240",,,"$2,010",,Florida,,,
,,Palm Beach County,,,,"$484,160",,,"$2,990",,,"$2,550",,Florida,,,
,,Pasco County,,,,"$327,830",,,"$2,020",,,"$1,780",,Florida,,,
,,Pinellas County,,,,"$384,410",,,"$2,370",,,"$2,090",,Florida,,,
,,Polk County,,,,"$288,690",,,"$1,780",,,"$1,550",,Florida,,,
,,Putnam County,,,,"$162,450",,,"$1,000",,,$870,,Florida,,,
,,St. Johns County,,,,"$508,370",,,"$3,140",,,"$2,850",,Florida,,,
,,St. Lucie County,,,,"$365,590",,,"$2,260",,,"$2,000",,Florida,,,
,,Santa Rosa County,,,,"$338,560",,,"$2,090",,,"$1,900",,Florida,,,
,,Sarasota County,,,,"$424,370",,,"$2,620",,,"$2,360",,Florida,,,
,,Seminole County,,,,"$403,440",,,"$2,490",,,"$2,240",,Florida,,,
,,Sumter County,,,,"$397,940",,,"$2,460",,,"$2,130",,Florida,,,
,,Suwannee County,,,,"$147,930",,,$910,,,$790,,Florida,,,
,,Taylor County,,,,"$96,780",,,$600,,,$520,,Florida,,,
,,Union County,,,,"$158,440",,,$980,,,$850,,Florida,,,
,,Volusia County,,,,"$312,950",,,"$1,930",,,"$1,780",,Florida,,,
,,Wakulla County,,,,"$214,280",,,"$1,320",,,"$1,150",,Florida,,,
,,Walton County,,,,"$431,970",,,"$2,670",,,"$2,310",,Florida,,,
,,Washington County,,,,"$149,120",,,$920,,,$800,,Florida,,,
,,Appling County,,,,"$96,730",,,$600,,,$510,,Georgia,,,
,,Atkinson County,,,,"$84,270",,,$520,,,$450,,Georgia,,,
,,Bacon County,,,,"$104,490",,,$640,,,$560,,Georgia,,,
,,Baker County,,,,"$124,110",,,$770,,,$710,,Georgia,,,
,,Baldwin County,,,,"$168,770",,,"$1,040",,,$900,,Georgia,,,
,,Banks County,,,,"$251,290",,,"$1,550",,,"$1,340",,Georgia,,,
,,Barrow County,,,,"$334,020",,,"$2,060",,,"$1,830",,Georgia,,,
